ticker,event_date,setup_type
DVN,2016-12-19,s03_catalyst_rerating_placebo
FANG,2022-05-10,s03_catalyst_rerating_placebo
FANG,2016-04-01,s03_catalyst_rerating_placebo
FANG,2025-03-18,s03_catalyst_rerating_placebo
DLR,2023-06-07,s03_catalyst_rerating_placebo
DLTR,2022-04-01,s03_catalyst_rerating_placebo
DLTR,2016-12-27,s03_catalyst_rerating_placebo
DPZ,2016-05-27,s03_catalyst_rerating_placebo
DOW,2024-08-30,s03_catalyst_rerating_placebo
EIX,2022-10-27,s03_catalyst_rerating_placebo
EW,2026-04-16,s03_catalyst_rerating_placebo
ELV,2016-11-21,s03_catalyst_rerating_placebo
EOG,2022-06-02,s03_catalyst_rerating_placebo
EQR,2018-08-21,s03_catalyst_rerating_placebo
ERIE,2018-05-18,s03_catalyst_rerating_placebo
EXPE,2021-11-18,s03_catalyst_rerating_placebo
FFIV,2026-04-08,s03_catalyst_rerating_placebo
FICO,2020-05-28,s03_catalyst_rerating_placebo
FRT,2019-04-24,s03_catalyst_rerating_placebo
FDX,2020-08-25,s03_catalyst_rerating_placebo
FSLR,2021-11-18,s03_catalyst_rerating_placebo
FSLR,2016-03-31,s03_catalyst_rerating_placebo
FSLR,2016-10-13,s03_catalyst_rerating_placebo
FE,2017-04-13,s03_catalyst_rerating_placebo
FLEX,2017-11-06,s03_catalyst_rerating_placebo
F,2023-03-06,s03_catalyst_rerating_placebo
F,2021-05-06,s03_catalyst_rerating_placebo
BEN,2018-06-26,s03_catalyst_rerating_placebo
GE,2022-11-23,s03_catalyst_rerating_placebo
GEV,2025-09-05,s03_catalyst_rerating_placebo
GEN,2022-01-19,s03_catalyst_rerating_placebo
GEN,2021-08-16,s03_catalyst_rerating_placebo
GM,2019-11-25,s03_catalyst_rerating_placebo
HAL,2017-06-15,s03_catalyst_rerating_placebo
HSY,2023-05-22,s03_catalyst_rerating_placebo
HPE,2016-05-19,s03_catalyst_rerating_placebo
HLT,2022-09-30,s03_catalyst_rerating_placebo
HWM,2020-02-05,s03_catalyst_rerating_placebo
HPQ,2023-02-01,s03_catalyst_rerating_placebo
HII,2026-03-19,s03_catalyst_rerating_placebo
INCY,2022-01-18,s03_catalyst_rerating_placebo
PODD,2024-01-10,s03_catalyst_rerating_placebo
INTC,2017-06-28,s03_catalyst_rerating_placebo
INTC,2024-08-27,s03_catalyst_rerating_placebo
IP,2020-06-25,s03_catalyst_rerating_placebo
IVZ,2023-02-09,s03_catalyst_rerating_placebo
IRM,2024-05-17,s03_catalyst_rerating_placebo
KDP,2023-04-12,s03_catalyst_rerating_placebo
KDP,2018-03-12,s03_catalyst_rerating_placebo
KIM,2024-02-16,s03_catalyst_rerating_placebo
KKR,2022-08-31,s03_catalyst_rerating_placebo
KR,2025-10-21,s03_catalyst_rerating_placebo
LVS,2024-01-17,s03_catalyst_rerating_placebo
LLY,2017-01-19,s03_catalyst_rerating_placebo
LLY,2023-10-09,s03_catalyst_rerating_placebo
LLY,2022-10-26,s03_catalyst_rerating_placebo
LYV,2024-09-05,s03_catalyst_rerating_placebo
LYV,2017-09-14,s03_catalyst_rerating_placebo
LULU,2024-12-16,s03_catalyst_rerating_placebo
LITE,2024-02-20,s03_catalyst_rerating_placebo
LYB,2018-07-17,s03_catalyst_rerating_placebo
MTB,2019-03-08,s03_catalyst_rerating_placebo
MAR,2019-07-08,s03_catalyst_rerating_placebo
MLM,2019-03-12,s03_catalyst_rerating_placebo
MRVL,2020-10-27,s03_catalyst_rerating_placebo
MRVL,2016-08-09,s03_catalyst_rerating_placebo
MRVL,2022-08-30,s03_catalyst_rerating_placebo
MRVL,2022-08-15,s03_catalyst_rerating_placebo
MGM,2024-08-26,s03_catalyst_rerating_placebo
MGM,2020-12-08,s03_catalyst_rerating_placebo
MRNA,2024-05-30,s03_catalyst_rerating_placebo
MRNA,2024-08-09,s03_catalyst_rerating_placebo
MRNA,2019-03-18,s03_catalyst_rerating_placebo
MRNA,2020-02-04,s03_catalyst_rerating_placebo
MRNA,2022-08-11,s03_catalyst_rerating_placebo
MRNA,2025-01-27,s03_catalyst_rerating_placebo
MRNA,2026-05-05,s03_catalyst_rerating_placebo
MRNA,2019-06-20,s03_catalyst_rerating_placebo
MPWR,2024-04-26,s03_catalyst_rerating_placebo
NFLX,2019-11-01,s03_catalyst_rerating_placebo
NOC,2023-04-13,s03_catalyst_rerating_placebo
NCLH,2018-08-31,s03_catalyst_rerating_placebo
NCLH,2025-04-11,s03_catalyst_rerating_placebo
NRG,2022-04-26,s03_catalyst_rerating_placebo
NVDA,2016-06-13,s03_catalyst_rerating_placebo
NXPI,2018-06-26,s03_catalyst_rerating_placebo
NXPI,2020-09-30,s03_catalyst_rerating_placebo
OXY,2023-09-22,s03_catalyst_rerating_placebo
OXY,2024-03-15,s03_catalyst_rerating_placebo
ON,2026-01-23,s03_catalyst_rerating_placebo
PCAR,2024-04-09,s03_catalyst_rerating_placebo
PSKY,2019-02-27,s03_catalyst_rerating_placebo
PSKY,2022-07-01,s03_catalyst_rerating_placebo
PSKY,2020-10-06,s03_catalyst_rerating_placebo
PCG,2026-05-13,s03_catalyst_rerating_placebo
PCG,2018-04-27,s03_catalyst_rerating_placebo
PCG,2023-09-22,s03_catalyst_rerating_placebo
PTC,2016-04-06,s03_catalyst_rerating_placebo
PWR,2023-02-14,s03_catalyst_rerating_placebo
QCOM,2025-06-05,s03_catalyst_rerating_placebo
QCOM,2023-05-22,s03_catalyst_rerating_placebo
REGN,2022-12-14,s03_catalyst_rerating_placebo
REGN,2024-07-16,s03_catalyst_rerating_placebo
REGN,2024-09-03,s03_catalyst_rerating_placebo
HOOD,2024-04-17,s03_catalyst_rerating_placebo
HOOD,2024-01-22,s03_catalyst_rerating_placebo
HOOD,2023-09-27,s03_catalyst_rerating_placebo
HOOD,2026-01-08,s03_catalyst_rerating_placebo
HOOD,2023-12-27,s03_catalyst_rerating_placebo
ROST,2019-03-26,s03_catalyst_rerating_placebo
RCL,2025-05-15,s03_catalyst_rerating_placebo
RCL,2016-09-19,s03_catalyst_rerating_placebo
SBAC,2022-04-06,s03_catalyst_rerating_placebo
SRE,2016-06-28,s03_catalyst_rerating_placebo
SW,2019-07-19,s03_catalyst_rerating_placebo
SW,2023-05-03,s03_catalyst_rerating_placebo
SW,2025-01-03,s03_catalyst_rerating_placebo
SWK,2017-11-03,s03_catalyst_rerating_placebo
SBUX,2025-10-08,s03_catalyst_rerating_placebo
SMCI,2024-08-14,s03_catalyst_rerating_placebo
SYF,2021-11-16,s03_catalyst_rerating_placebo
TMUS,2021-11-29,s03_catalyst_rerating_placebo
TPR,2018-08-10,s03_catalyst_rerating_placebo
TRGP,2024-07-09,s03_catalyst_rerating_placebo
TRGP,2017-02-03,s03_catalyst_rerating_placebo
TSLA,2019-08-22,s03_catalyst_rerating_placebo
TXN,2016-04-20,s03_catalyst_rerating_placebo
TPL,2023-02-15,s03_catalyst_rerating_placebo
TPL,2017-09-13,s03_catalyst_rerating_placebo
TPL,2026-03-19,s03_catalyst_rerating_placebo
TPL,2019-11-13,s03_catalyst_rerating_placebo
TPL,2022-07-22,s03_catalyst_rerating_placebo
TKO,2018-06-20,s03_catalyst_rerating_placebo
TKO,2019-09-12,s03_catalyst_rerating_placebo
TKO,2021-06-24,s03_catalyst_rerating_placebo
TKO,2023-10-04,s03_catalyst_rerating_placebo
TKO,2022-10-17,s03_catalyst_rerating_placebo
TKO,2021-06-03,s03_catalyst_rerating_placebo
TTD,2025-01-10,s03_catalyst_rerating_placebo
TTD,2018-08-17,s03_catalyst_rerating_placebo
TTD,2026-01-09,s03_catalyst_rerating_placebo
TRMB,2021-08-16,s03_catalyst_rerating_placebo
UBER,2021-04-16,s03_catalyst_rerating_placebo
UBER,2026-03-23,s03_catalyst_rerating_placebo
ULTA,2023-11-07,s03_catalyst_rerating_placebo
ULTA,2018-08-16,s03_catalyst_rerating_placebo
ULTA,2018-11-09,s03_catalyst_rerating_placebo
UNP,2022-05-26,s03_catalyst_rerating_placebo
UAL,2023-04-24,s03_catalyst_rerating_placebo
UAL,2023-04-28,s03_catalyst_rerating_placebo
URI,2022-06-14,s03_catalyst_rerating_placebo
UNH,2025-03-25,s03_catalyst_rerating_placebo
UNH,2018-05-23,s03_catalyst_rerating_placebo
VLO,2021-11-29,s03_catalyst_rerating_placebo
VEEV,2020-05-22,s03_catalyst_rerating_placebo
VTR,2025-07-09,s03_catalyst_rerating_placebo
VRSN,2018-05-31,s03_catalyst_rerating_placebo
VRTX,2019-06-13,s03_catalyst_rerating_placebo
VRTX,2018-03-20,s03_catalyst_rerating_placebo
VRTX,2021-03-05,s03_catalyst_rerating_placebo
VRT,2021-01-22,s03_catalyst_rerating_placebo
VTRS,2021-08-18,s03_catalyst_rerating_placebo
VTRS,2016-10-25,s03_catalyst_rerating_placebo
VTRS,2017-10-06,s03_catalyst_rerating_placebo
VTRS,2025-09-09,s03_catalyst_rerating_placebo
VST,2023-01-11,s03_catalyst_rerating_placebo
VST,2025-08-20,s03_catalyst_rerating_placebo
VST,2019-03-29,s03_catalyst_rerating_placebo
VST,2026-01-26,s03_catalyst_rerating_placebo
WAB,2020-08-03,s03_catalyst_rerating_placebo
WBD,2018-08-03,s03_catalyst_rerating_placebo
WBD,2018-01-04,s03_catalyst_rerating_placebo
WEC,2020-10-20,s03_catalyst_rerating_placebo
WFC,2024-04-04,s03_catalyst_rerating_placebo
WDC,2023-09-18,s03_catalyst_rerating_placebo
WDC,2021-06-28,s03_catalyst_rerating_placebo
WYNN,2017-06-27,s03_catalyst_rerating_placebo
